Time,Velocity_J1,Velocity_J2,Velocity_J3,Velocity_J4,Velocity_J5,Velocity_J6
35.2,0.0269133804929277,0.0269133804929277,0.0269133804929277,0.0269133804929277,0.0269133804929277,0.0269133804929277
35.25,0.0267871270799012,0.0267871270799012,0.0267871270799012,0.0267871270799012,0.0267871270799012,0.0267871270799012
35.3,0.026660642988289,0.026660642988289,0.026660642988289,0.026660642988289,0.026660642988289,0.026660642988289
35.35,0.0265339332114665,0.0265339332114665,0.0265339332114665,0.0265339332114665,0.0265339332114665,0.0265339332114665
35.4,0.0264070027517186,0.0264070027517186,0.0264070027517186,0.0264070027517186,0.0264070027517186,0.0264070027517186
35.45,0.0262798566200426,0.0262798566200426,0.0262798566200426,0.0262798566200426,0.0262798566200426,0.0262798566200426
35.5,0.02615249983595,0.02615249983595,0.02615249983595,0.02615249983595,0.02615249983595,0.02615249983595
35.55,0.0260249374272687,0.0260249374272687,0.0260249374272687,0.0260249374272687,0.0260249374272687,0.0260249374272687
35.6,0.025897174429944,0.025897174429944,0.025897174429944,0.025897174429944,0.025897174429944,0.025897174429944
35.65,0.0257692158878404,0.0257692158878404,0.0257692158878404,0.0257692158878404,0.0257692158878404,0.0257692158878404
35.7,0.025641066852542,0.025641066852542,0.025641066852542,0.025641066852542,0.025641066852542,0.025641066852542
35.75,0.0255127323831532,0.0255127323831532,0.0255127323831532,0.0255127323831532,0.0255127323831532,0.0255127323831532
35.8,0.0253842175460993,0.0253842175460993,0.0253842175460993,0.0253842175460993,0.0253842175460993,0.0253842175460993
35.85,0.0252555274149258,0.0252555274149258,0.0252555274149258,0.0252555274149258,0.0252555274149258,0.0252555274149258
35.9,0.0251266670700989,0.0251266670700989,0.0251266670700989,0.0251266670700989,0.0251266670700989,0.0251266670700989
35.95,0.0249976415988043,0.0249976415988043,0.0249976415988043,0.0249976415988043,0.0249976415988043,0.0249976415988043
36,0.0248684560947466,0.0248684560947466,0.0248684560947466,0.0248684560947466,0.0248684560947466,0.0248684560947466
36.05,0.0247391156579485,0.0247391156579485,0.0247391156579485,0.0247391156579485,0.0247391156579485,0.0247391156579485
36.1,0.0246096253945488,0.0246096253945488,0.0246096253945488,0.0246096253945488,0.0246096253945488,0.0246096253945488
36.15,0.0244799904166014,0.0244799904166014,0.0244799904166014,0.0244799904166014,0.0244799904166014,0.0244799904166014
36.2,0.0243502158418733,0.0243502158418733,0.0243502158418733,0.0243502158418733,0.0243502158418733,0.0243502158418733
36.25,0.0242203067936425,0.0242203067936425,0.0242203067936425,0.0242203067936425,0.0242203067936425,0.0242203067936425
36.3,0.0240902684004958,0.0240902684004958,0.0240902684004958,0.0240902684004958,0.0240902684004958,0.0240902684004958
36.35,0.0239601057961262,0.0239601057961262,0.0239601057961262,0.0239601057961262,0.0239601057961262,0.0239601057961262
36.4,0.0238298241191306,0.0238298241191306,0.0238298241191306,0.0238298241191306,0.0238298241191306,0.0238298241191306
36.45,0.0236994285128064,0.0236994285128064,0.0236994285128064,0.0236994285128064,0.0236994285128064,0.0236994285128064
36.5,0.023568924124949,0.023568924124949,0.023568924124949,0.023568924124949,0.023568924124949,0.023568924124949
36.55,0.023438316107648,0.023438316107648,0.023438316107648,0.023438316107648,0.023438316107648,0.023438316107648
36.6,0.0233076096170845,0.0233076096170845,0.0233076096170845,0.0233076096170845,0.0233076096170845,0.0233076096170845
36.65,0.0231768098133267,0.0231768098133267,0.0231768098133267,0.0231768098133267,0.0231768098133267,0.0231768098133267
36.7,0.023045921860127,0.023045921860127,0.023045921860127,0.023045921860127,0.023045921860127,0.023045921860127
36.75,0.0229149509247178,0.0229149509247178,0.0229149509247178,0.0229149509247178,0.0229149509247178,0.0229149509247178
36.8,0.0227839021776071,0.0227839021776071,0.0227839021776071,0.0227839021776071,0.0227839021776071,0.0227839021776071
36.85,0.0226527807923753,0.0226527807923753,0.0226527807923753,0.0226527807923753,0.0226527807923753,0.0226527807923753
36.9,0.0225215919454701,0.0225215919454701,0.0225215919454701,0.0225215919454701,0.0225215919454701,0.0225215919454701
36.95,0.0223903408160024,0.0223903408160024,0.0223903408160024,0.0223903408160024,0.0223903408160024,0.0223903408160024
37,0.0222590325855423,0.0222590325855423,0.0222590325855423,0.0222590325855423,0.0222590325855423,0.0222590325855423
37.05,0.0221276724379137,0.0221276724379137,0.0221276724379137,0.0221276724379137,0.0221276724379137,0.0221276724379137
37.1,0.0219962655589904,0.0219962655589904,0.0219962655589904,0.0219962655589904,0.0219962655589904,0.0219962655589904
37.15,0.0218648171364909,0.0218648171364909,0.0218648171364909,0.0218648171364909,0.0218648171364909,0.0218648171364909
37.2,0.021733332359774,0.021733332359774,0.021733332359774,0.021733332359774,0.021733332359774,0.021733332359774
37.25,0.0216018164196333,0.0216018164196333,0.0216018164196333,0.0216018164196333,0.0216018164196333,0.0216018164196333
37.3,0.0214702745080932,0.0214702745080932,0.0214702745080932,0.0214702745080932,0.0214702745080932,0.0214702745080932
37.35,0.0213387118182029,0.0213387118182029,0.0213387118182029,0.0213387118182029,0.0213387118182029,0.0213387118182029
37.4,0.0212071335438323,0.0212071335438323,0.0212071335438323,0.0212071335438323,0.0212071335438323,0.0212071335438323
37.45,0.0210755448794663,0.0210755448794663,0.0210755448794663,0.0210755448794663,0.0210755448794663,0.0210755448794663
37.5,0.02094395102,0.02094395102,0.02094395102,0.02094395102,0.02094395102,0.02094395102
37.55,0.0208123571605337,0.0208123571605337,0.0208123571605337,0.0208123571605337,0.0208123571605337,0.0208123571605337
37.6,0.0206807684961677,0.0206807684961677,0.0206807684961677,0.0206807684961677,0.0206807684961677,0.0206807684961677
37.65,0.0205491902217971,0.0205491902217971,0.0205491902217971,0.0205491902217971,0.0205491902217971,0.0205491902217971
37.7,0.0204176275319068,0.0204176275319068,0.0204176275319068,0.0204176275319068,0.0204176275319068,0.0204176275319068
37.75,0.0202860856203666,0.0202860856203666,0.0202860856203666,0.0202860856203666,0.0202860856203666,0.0202860856203666
37.8,0.020154569680226,0.020154569680226,0.020154569680226,0.020154569680226,0.020154569680226,0.020154569680226
37.85,0.0200230849035091,0.0200230849035091,0.0200230849035091,0.0200230849035091,0.0200230849035091,0.0200230849035091
37.9,0.0198916364810096,0.0198916364810096,0.0198916364810096,0.0198916364810096,0.0198916364810096,0.0198916364810096
37.95,0.0197602296020863,0.0197602296020863,0.0197602296020863,0.0197602296020863,0.0197602296020863,0.0197602296020863
38,0.0196288694544577,0.0196288694544577,0.0196288694544577,0.0196288694544577,0.0196288694544577,0.0196288694544577
38.05,0.0194975612239975,0.0194975612239975,0.0194975612239975,0.0194975612239975,0.0194975612239975,0.0194975612239975
38.1,0.0193663100945299,0.0193663100945299,0.0193663100945299,0.0193663100945299,0.0193663100945299,0.0193663100945299
38.15,0.0192351212476247,0.0192351212476247,0.0192351212476247,0.0192351212476247,0.0192351212476247,0.0192351212476247
38.2,0.0191039998623928,0.0191039998623928,0.0191039998623928,0.0191039998623928,0.0191039998623928,0.0191039998623928
38.25,0.0189729511152822,0.0189729511152822,0.0189729511152822,0.0189729511152822,0.0189729511152822,0.0189729511152822
38.3,0.0188419801798729,0.0188419801798729,0.0188419801798729,0.0188419801798729,0.0188419801798729,0.0188419801798729
38.35,0.0187110922266733,0.0187110922266733,0.0187110922266733,0.0187110922266733,0.0187110922266733,0.0187110922266733
38.4,0.0185802924229155,0.0185802924229155,0.0185802924229155,0.0185802924229155,0.0185802924229155,0.0185802924229155
38.45,0.0184495859323519,0.0184495859323519,0.0184495859323519,0.0184495859323519,0.0184495859323519,0.0184495859323519
